Release Date,WW Release Date,Release Year,WW Release Year,Diverse Cast,Gender Lead,primaryTitle,Theatrical Distributor,Source,Production Method,Creative Type,Production Budget,Breakeven Point,Opening Weekend Theatres,Maximum Theatres,Opening Rev Per Theatre,Opening Weekend Revenue,Adj BO Rev Per Max Theatres,Domestic BO,Infl Adj Dom BO,International BO,Worldwide BO,Profitable
11/3/2017,10/25/2017,2017,2017,No,Male,Thor: Ragnarok,Walt Disney,Based on Comic/Graphic Novel,Live Action,Super Hero,180000000,360000000,4080,4080,30085,122744989,78927,315058289,322022771,535424489,850482778,Highly Profitable
5/7/2010,5/7/2010,2010,2010,No,Male,Iron Man 2,Paramount Pictures,Based on Comic/Graphic Novel,Live Action,Super Hero,170000000,340000000,4380,4390,29252,128122480,82715,312433331,363119602,308723058,621156389,Profitable
6/14/2013,6/14/2013,2013,2013,No,Male,Man of Steel,Warner Bros.,Based on Comic/Graphic Novel,Live Action,Super Hero,225000000,450000000,4207,4207,27720,116619362,78031,291045518,328276427,376954000,667999518,Profitable
7/3/2012,6/27/2012,2012,2012,No,Male,The Amazing Spider-Man,Sony Pictures,Based on Comic/Graphic Novel,Live Action,Super Hero,220000000,440000000,4318,4318,14360,62004688,69908,262030663,301861957,495859604,757890267,Profitable
4/4/2014,3/28/2014,2014,2014,No,Male,Captain America: The Winter Soldier,Walt Disney,Based on Comic/Graphic Novel,Live Action,Super Hero,170000000,340000000,3938,3938,24130,95023721,74032,259746958,291539728,454654931,714401889,Highly Profitable
5/26/2006,5/26/2006,2006,2006,No,Ensemble,X-Men: The Last Stand,20th Century Fox,Based on Comic/Graphic Novel,Live Action,Super Hero,210000000,420000000,3690,3714,27846,102750665,88343,234362462,328107442,224898484,459260946,Profitable
5/23/2014,5/21/2014,2014,2014,No,Ensemble,X-Men: Days of Future Past,20th Century Fox,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,400000000,3996,4001,22729,90823660,65622,233921534,262553294,513941241,747862775,Profitable
11/4/2016,10/24/2016,2016,2016,No,Male,Doctor Strange,Walt Disney,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,165000000,330000000,3882,3882,21911,85058311,63506,232641920,246531479,443712561,676354481,Highly Profitable
11/17/2017,11/13/2017,2017,2017,No,Ensemble,Justice League,Warner Bros.,Based on Comic/Graphic Novel,Live Action,Super Hero,300000000,600000000,4051,4051,23165,93842239,57782,229024295,234076098,426920914,655945209,Profitable
7/1/2008,7/1/2008,2008,2008,Yes,Male,Hancock,Sony Pictures,Original Screenplay,Live Action,Super Hero,150000000,300000000,3965,3965,15789,62603879,73423,227946274,291123575,396287998,624234272,Highly Profitable
3/3/2017,2/23/2017,2017,2017,No,Male,Logan,20th Century Fox,Based on Comic/Graphic Novel,Live Action,Super Hero,127000000,254000000,4071,4071,21717,88411916,56822,226277068,231322264,387925247,614202315,Highly Profitable
9/3/2021,9/1/2021,2021,2021,Yes,Male,Shang-Chi and the Legend of the Ten R…,Walt Disney,Based on Comic/Graphic Novel,Live Action,Super Hero,150000000,300000000,4300,4300,17532,75388688,52219,224543292,224543296,207700000,432243292,Profitable
11/7/2014,10/25/2014,2014,2014,No,Male,Big Hero 6,Walt Disney,Original Screenplay,Digital Animation,Super Hero,165000000,330000000,3761,3773,14947,56215889,66094,222527828,249373116,425887196,648415024,Profitable
7/6/2018,7/3/2018,2018,2018,Yes,Ensemble,Ant-Man and the Wasp,Walt Disney,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,130000000,260000000,4206,4206,18025,75812205,51849,216648740,218075621,406495920,623144660,Highly Profitable
10/1/2021,9/30/2021,2021,2021,No,Male,Venom: Let There be Carnage,Sony Pictures,Spin-Off,Animation/Live Action,Super Hero,110000000,220000000,4225,4225,21310,90033210,50544,213550366,213550366,288050013,501600379,Highly Profitable
10/5/2018,10/2/2018,2018,2018,No,Male,Venom,Sony Pictures,Spin-Off,Animation/Live Action,Super Hero,116000000,232000000,4250,4250,18884,80255756,50569,213511408,214917171,642569645,856081053,Highly Profitable
11/8/2013,10/30/2013,2013,2013,No,Male,Thor: The Dark World,Walt Disney,Based on Comic/Graphic Novel,Live Action,Super Hero,150000000,300000000,3841,3841,22322,85737841,60595,206362140,232744155,438240376,644602516,Highly Profitable
6/15/2005,6/15/2005,2005,2005,No,Male,Batman Begins,Warner Bros.,Based on Comic/Graphic Novel,Live Action,Super Hero,150000000,300000000,3858,3858,12635,48745440,76143,205343774,293760125,153514350,358858124,Profitable
5/2/2014,4/16/2014,2014,2014,Yes,Male,The Amazing Spider-Man 2,Sony Pictures,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,400000000,4324,4324,21186,91608337,52656,202853933,227683049,506142403,708996336,Profitable
6/28/2006,6/28/2006,2006,2006,No,Male,Superman Returns,Warner Bros.,Based on Comic/Graphic Novel,Live Action,Super Hero,232000000,464000000,4065,4065,12924,52535096,68922,200120000,280167993,190961192,391081192,Loss
8/8/2014,8/8/2014,2014,2014,No,Male,Teenage Mutant Ninja Turtles,Paramount Pictures,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,125000000,250000000,3845,3980,17055,65575105,53922,191204754,214608023,293800000,485004754,Profitable
12/14/2018,12/12/2018,2018,2018,Yes,Male,Spider-Man: Into The Spider-Verse 3D,Sony Pictures,Based on Comic/Graphic Novel,Digital Animation,Super Hero,90000000,180000000,3813,3813,9274,35363376,50122,190173195,191116940,185343509,375516704,Highly Profitable
7/9/2021,7/7/2021,2021,2021,Yes,Female,Black Widow,Walt Disney,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,400000000,4160,4275,19319,80366312,42959,183651655,183651655,196100000,379751655,Loss
5/6/2011,4/29/2011,2011,2011,No,Male,Thor,Paramount Pictures,Based on Comic/Graphic Novel,Live Action,Super Hero,150000000,300000000,3955,3963,16618,65723338,52823,181030624,209338060,268295994,449326618,Profitable
7/17/2015,7/14/2015,2015,2015,No,Male,Ant-Man,Walt Disney,Based on Comic/Graphic Novel,Live Action,Super Hero,130000000,260000000,3856,3868,14841,57225526,50678,180202163,196020616,338656286,518858449,Profitable
5/1/2009,5/1/2009,2009,2009,No,Male,X-Men Origins: Wolverine,20th Century Fox,Spin-Off,Live Action,Super Hero,150000000,300000000,4099,4102,20751,85058003,53617,179883157,219937141,194942603,374825760,Profitable
7/22/2011,7/22/2011,2011,2011,No,Male,Captain America: The First Avenger,Paramount Pictures,Based on Comic/Graphic Novel,Live Action,Super Hero,140000000,280000000,3715,3715,17512,65058524,54987,176654505,204277660,193915271,370569776,Profitable
11/5/2021,11/3/2021,2021,2021,Yes,Ensemble,Eternals,Walt Disney,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,400000000,4090,4090,17432,71297219,40311,164870264,164870264,237194665,402064929,Profitable
5/27/2016,5/18/2016,2016,2016,No,Ensemble,X-Men: Apocalypse,20th Century Fox,Based on Comic/Graphic Novel,Live Action,Super Hero,178000000,356000000,4150,4153,15848,65769562,39679,155442489,164787000,387095057,542537546,Profitable
7/8/2005,7/8/2005,2005,2005,No,Ensemble,Fantastic Four,20th Century Fox,Based on Comic/Graphic Novel,Live Action,Super Hero,87500000,175000000,3602,3619,15564,56061504,61151,154696080,221304681,178436670,333132750,Profitable
6/3/2011,6/3/2011,2011,2011,No,Ensemble,X-Men: First Class,20th Century Fox,Based on Comic/Graphic Novel,Live Action,Super Hero,160000000,320000000,3641,3692,15134,55101604,45856,146408305,169301914,209000000,355408305,Profitable
7/8/2022,7/1/2022,2022,2022,No,Ensemble,Thor: Love and Thunder,Walt Disney,Based on Comic/Graphic Novel,Live Action,Super Hero,250000000,500000000,4375,4375,32952,144165107,32952,144165107,144165107,159000000,303165107,Loss
4/5/2019,4/3/2019,2019,2019,No,Male,Shazam!,Warner Bros.,Based on Comic/Graphic Novel,Live Action,Super Hero,85000000,170000000,4217,4306,12688,53505326,32635,140371656,140524904,223292877,363664533,Highly Profitable
6/13/2008,6/13/2008,2008,2008,No,Male,The Incredible Hulk,Universal,Based on Comic/Graphic Novel,Live Action,Super Hero,137500000,275000000,3505,3508,15810,55414050,49079,134806913,172169831,130766946,265573859,Loss
7/26/2013,7/26/2013,2013,2013,Yes,Male,The Wolverine,20th Century Fox,Based on Comic/Graphic Novel,Live Action,Super Hero,115000000,230000000,3924,3924,13536,53113752,38102,132556852,149513686,283900000,416456852,Profitable
6/15/2007,6/15/2007,2007,2007,No,Ensemble,Fantastic Four: Rise of the Silver Su…,20th Century Fox,Based on Comic/Graphic Novel,Live Action,Super Hero,120000000,240000000,3959,3963,14663,58051684,44368,131921738,175831733,157558953,289480691,Profitable
6/17/2011,6/17/2011,2011,2011,No,Male,Green Lantern,Warner Bros.,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,200000000,400000000,3816,3816,13935,53174303,35334,116601172,134833892,102934320,219535492,Loss
2/16/2007,2/16/2007,2007,2007,No,Male,Ghost Rider,Sony Pictures,Based on Comic/Graphic Novel,Live Action,Super Hero,120000000,240000000,3619,3620,12542,45388836,42637,115802596,154347349,113742993,229545589,Loss
3/6/2009,3/6/2009,2009,2009,No,Male,Watchmen,Warner Bros.,Based on Comic/Graphic Novel,Live Action,Super Hero,138000000,276000000,3611,3611,15291,55214334,36402,107509799,131448649,79466451,186976250,Loss
1/14/2011,1/14/2011,2011,2011,Yes,Male,The Green Hornet,Sony Pictures,Based on TV,Live Action,Super Hero,110000000,220000000,3584,3584,9355,33526876,31871,98780042,114226096,130375461,229155503,Profitable
2/7/2020,2/5/2020,2020,2020,Yes,Female,Birds of Prey (And the Fantabulous Em…,Warner Bros.,Based on Comic/Graphic Novel,Live Action,Super Hero,82000000,164000000,4236,4236,7793,33010017,19867,84158461,84158461,117693679,201852140,Profitable
6/3/2016,6/2/2016,2016,2016,No,Male,Teenage Mutant Ninja Turtles: Out of …,Paramount Pictures,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,135000000,270000000,4071,4071,8675,35316382,21367,82051601,86984181,163276773,245328374,Loss
7/11/2008,7/11/2008,2008,2008,No,Male,Hellboy II: The Golden Army,Universal,Based on Comic/Graphic Novel,Live Action,Super Hero,82500000,165000000,3204,3212,10780,34539115,30214,75986503,97046825,84401560,160388063,Loss
4/1/2022,3/30/2022,2022,2022,No,Male,Morbius,Sony Pictures,Spin-Off,Live Action,Super Hero,75000000,150000000,4268,4268,9139,39005895,17290,73793072,73793072,89338187,163131259,Profitable
6/7/2019,6/5/2019,2019,2019,No,Ensemble,Dark Phoenix,20th Century Fox,Based on Fiction Book/Short Story,Live Action,Super Hero,200000000,400000000,3721,3721,8822,32828348,17715,65845974,65917857,180510921,246356895,Loss
